;;;;;;;;;;;;;; 80.007 ; 229.027.746,30 ; 1.633.627,99 ; 227.394.118,31 ; 41.142.264,91 ; 5.760.400,78 ; -   ; -   ; -   ; 221.651.156,36 ; 74.093.414,10 ; 1.222.563,60 ; 5.631.099,16 ; 6.853.662,76 
chave_unica;Período;Ano;Mês;Trimestre;sped_origem;sentido;Registro;CFOP;CST;Alíq. Pis do SPED;Alíq. Cofins do SPED;Nat. BC. Créd.;status_conferencia;qtd_registros; total_item ; total_desconto ; total_liquido ; total_bc_icms ; total_icms ; total_icms_st ; total_ipi ; total_iss ; bc_pis_cof_calculada ; bc_pis_cof_escriturada ; total_pis ; total_cof ; total_pis_cofins 
2021|01|CONTRIBUIÇÕES|Entrada|C170|1902|98|0.0000|0.0000|N/A|Não conferido;01/01/2021;2021;1;1;CONTRIBUIÇÕES;Entrada;C170;1902;98;0,0000;0,0000;N/A;Não conferido;229; 441,00 ; -   ; 441,00 ; -   ; -   ; -   ; -   ; -   ; 441,00 ; -   ; -   ; -   ; -   
2021|01|CONTRIBUIÇÕES|Entrada|C170|2916|70|0.0000|0.0000|N/A|Não conferido;01/01/2021;2021;1;1;CONTRIBUIÇÕES;Entrada;C170;2916;70;0,0000;0,0000;N/A;Não conferido;3; 12.500,00 ; -   ; 12.500,00 ; -   ; -   ; -   ; -   ; -   ; 12.500,00 ; -   ; -   ; -   ; -   
2021|01|CONTRIBUIÇÕES|Entrada|C170|2933|51|1.6500|7.6000|03|Não conferido;01/01/2021;2021;1;1;CONTRIBUIÇÕES;Entrada;C170;2933;51;0,0165;0,0760;3;Não conferido;11; 13.100,00 ; -   ; 13.100,00 ; -   ; -   ; -   ; -   ; -   ; 13.100,00 ; 13.100,00 ; 216,17 ; 995,60 ; 1.211,77 
2021|01|CONTRIBUIÇÕES|Entrada|C170|1407|70|0.0000|0.0000|02|Não conferido;01/01/2021;2021;1;1;CONTRIBUIÇÕES;Entrada;C170;1407;70;0,0000;0,0000;2;Não conferido;14; 13.029,20 ; 1.220,00 ; 11.809,20 ; -   ; -   ; -   ; -   ; -   ; 11.809,20 ; -   ; -   ; -   ; -   
2021|01|CONTRIBUIÇÕES|Entrada|C170|1653|51|1.6500|7.6000|02|Não conferido;01/01/2021;2021;1;1;CONTRIBUIÇÕES;Entrada;C170;1653;51;0,0165;0,0760;2;Não conferido;63; 605.267,91 ; 10.808,10 ; 594.459,81 ; 458.453,77 ; 55.014,45 ; -   ; -   ; -   ; 539.445,36 ; 594.459,81 ; 9.808,66 ; 45.178,95 ; 54.987,61 
2021|01|CONTRIBUIÇÕES|Entrada|C170|2407|51|1.6500|7.6000|02|Não conferido;01/01/2021;2021;1;1;CONTRIBUIÇÕES;Entrada;C170;2407;51;0,0165;0,0760;2;Não conferido;61; 464.394,86 ; 10,00 ; 464.384,86 ; 426.723,84 ; 50.399,33 ; -   ; -   ; -   ; 413.985,53 ; 464.384,86 ; 7.662,40 ; 35.293,24 ; 42.955,64 
2021|01|CONTRIBUIÇÕES|Entrada|C170|1407|51|1.6500|7.6000|02|Não conferido;01/01/2021;2021;1;1;CONTRIBUIÇÕES;Entrada;C170;1407;51;0,0165;0,0760;2;Não conferido;947; 470.688,63 ; 29.986,01 ; 440.702,62 ; -   ; -   ; -   ; -   ; -   ; 440.702,62 ; 440.702,62 ; 7.272,12 ; 33.493,28 ; 40.765,40 
2021|01|CONTRIBUIÇÕES|Entrada|C170|1556|70|0.0000|0.0000|02|Não conferido;01/01/2021;2021;1;1;CONTRIBUIÇÕES;Entrada;C170;1556;70;0,0000;0,0000;2;Não conferido;418; 177.930,16 ; 2.639,05 ; 175.291,11 ; 9.853,16 ; 1.773,57 ; -   ; -   ; -   ; 173.517,54 ; -   ; -   ; -   ; -   
2021|01|CONTRIBUIÇÕES|Entrada|C170|2407|70|0.0000|0.0000|02|Não conferido;01/01/2021;2021;1;1;CONTRIBUIÇÕES;Entrada;C170;2407;70;0,0000;0,0000;2;Não conferido;20; 135.039,13 ; -   ; 135.039,13 ; 117.952,44 ; 6.373,07 ; -   ; -   ; -   ; 128.666,06 ; -   ; -   ; -   ; -   
